iter	Passed	Remaining
0	106	106209
1	106	53366
2	107	35780
3	108	26948
4	108	21654
5	109	18109
6	109	15584
7	110	13684
8	110	12219
9	111	11037
10	112	10072
11	112	9270
12	113	8588
13	113	8002
14	114	7493
15	114	7046
16	115	6653
17	115	6302
18	115	5988
19	116	5706
20	117	5455
21	117	5230
22	118	5041
23	119	4860
24	120	4698
25	121	4543
26	121	4388
27	122	4247
28	123	4119
29	123	3999
30	124	3886
31	124	3777
32	125	3684
33	126	3587
34	126	3497
35	127	3410
36	127	3327
37	128	3248
38	128	3172
39	129	3102
40	129	3037
41	130	2973
42	131	2923
43	132	2868
44	132	2819
45	133	2776
46	134	2727
47	135	2679
48	135	2634
49	136	2591
50	137	2550
51	137	2510
52	138	2472
53	138	2432
54	139	2395
55	139	2359
56	140	2324
57	141	2291
58	141	2259
59	142	2227
60	142	2195
61	143	2166
62	143	2136
63	144	2108
64	144	2082
65	145	2057
66	145	2031
67	146	2011
68	147	1990
69	148	1969
70	149	1950
71	149	1928
72	150	1908
73	150	1887
74	151	1872
75	152	1852
76	152	1833
77	153	1813
78	153	1794
79	154	1775
80	154	1757
81	155	1739
82	155	1719
83	156	1703
84	156	1686
85	157	1669
86	157	1654
87	158	1642
88	159	1632
89	160	1618
90	160	1604
91	161	1590
92	161	1577
93	162	1566
94	163	1557
95	164	1546
96	164	1534
97	165	1522
98	166	1511
99	166	1499
100	167	1487
101	167	1475
102	168	1463
103	168	1451
104	169	1440
105	169	1430
106	170	1419
107	170	1409
108	171	1398
109	171	1388
110	172	1378
111	172	1368
112	173	1359
113	174	1352
114	174	1344
115	175	1336
116	175	1327
117	176	1318
118	177	1311
119	177	1304
120	178	1299
121	179	1291
122	180	1285
123	181	1278
124	181	1271
125	182	1263
126	182	1255
127	183	1248
128	183	1241
129	184	1233
130	184	1225
131	185	1218
132	185	1210
133	186	1205
134	187	1198
135	187	1191
136	188	1184
137	188	1177
138	189	1170
139	189	1164
140	189	1157
141	190	1150
142	190	1144
143	191	1138
144	192	1135
145	193	1132
146	194	1128
147	195	1123
148	195	1117
149	196	1112
150	196	1107
151	197	1101
152	197	1095
153	198	1090
154	199	1087
155	200	1082
156	200	1076
157	200	1071
158	201	1065
159	201	1060
160	202	1054
161	202	1048
162	203	1043
163	203	1038
164	204	1033
165	204	1028
166	205	1024
167	205	1019
168	206	1016
169	207	1014
170	208	1010
171	209	1007
172	209	1003
173	210	999
174	211	995
175	212	993
176	212	988
177	213	984
178	213	980
179	214	975
180	214	971
181	215	967
182	215	963
183	216	958
184	216	954
185	217	950
186	217	947
187	218	943
188	219	939
189	219	935
190	219	931
191	220	927
192	220	924
193	221	920
194	222	917
195	222	914
196	224	914
197	225	913
198	226	910
199	226	907
200	227	904
201	228	900
202	228	897
203	229	893
204	229	890
205	230	887
206	230	884
207	231	881
208	231	877
209	232	874
210	233	871
211	233	867
212	233	864
213	234	861
214	235	858
215	235	854
216	236	851
217	236	849
218	237	846
219	238	844
220	239	842
221	239	840
222	240	837
223	240	834
224	241	831
225	242	829
226	242	826
227	243	823
228	244	821
229	244	818
230	244	815
231	245	812
232	245	809
233	246	806
234	246	803
235	247	801
236	247	798
237	248	797
238	249	794
239	250	792
240	250	789
241	251	786
242	251	784
243	252	782
244	253	781
245	254	779
246	255	777
247	255	775
248	256	772
249	256	770
250	257	767
251	257	765
252	258	763
253	259	761
254	259	758
255	260	756
256	260	754
257	261	752
258	262	750
259	262	748
260	263	745
261	263	743
262	264	740
263	264	738
264	265	735
265	265	733
266	266	730
267	266	728
268	267	727
269	268	725
270	269	724
271	269	722
272	270	720
273	271	718
274	271	716
275	272	714
276	272	712
277	273	710
278	273	707
279	274	705
280	274	703
281	275	700
282	275	698
283	276	696
284	276	694
285	277	692
286	277	689
287	278	687
288	278	685
289	279	683
290	279	681
291	279	678
292	280	676
293	280	674
294	281	672
295	282	671
296	283	670
297	283	668
298	284	667
299	285	665
300	285	663
301	286	661
302	286	659
303	287	657
304	287	655
305	288	653
306	288	651
307	289	649
308	289	647
309	290	645
310	290	643
311	291	641
312	291	640
313	292	638
314	292	636
315	292	634
316	293	632
317	293	630
318	294	628
319	295	627
